Funder Name,DMP required,Data Sharing required,Minimum Data Retention period,Overview,Link to guidance,Data Guidance reviewed 
British Society for Neuroendocrinology ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.neuroendo.org.uk/Members/Grants.aspx,13/02/2018
Cancer Research UK,Y,Y,5 years,Once the funding for a project has ceased researchers should preserve all data resulting from that grant to ensure that data can be used for followup or new studies. We expect that data be preserved and available for sharing with the science community for a minimum period of five years following the end of a research grant.,http://www.cancerresearchuk.org/funding-for-researchers/applying-for-funding/policies-that-affect-your-grant/submission-of-a-data-sharing-and-preservation-strategy/data-sharing-guidelines,13/02/2018
Carnegie Trust ,N,N,N/A,No grant applicant guidance available,https://www.carnegieuktrust.org.uk/,13/02/2018
Carnegie trust for the Universities of Scotland,N,N,N/A,"26.The Trust does not currently impose any data-sharing or data-storage requirements on recipients of its Grants, but may reconsider its policy in this respect.",https://www.carnegie-trust.org/images/Documents/Research_Incentive_Grants/RIG_Terms%20%20Conditions_2018.pdf,13/02/2018
"Chest, Heart and Stroke Scotland ",N,N,N/A,No grant applicant guidance available,https://www.chss.org.uk/research-awards/,13/02/2018
Chief Scientist Office,N,Y,5 years,"16. Preserving and Sharing Research Data
16.1 CSO, in common with other public research funders, strongly encourages the sharing of data from research it supports. Where the data may be of interest to researchers other than the original investigators, consent from research participants should be worded in terms that enable the data to be used for secondary analysis, and datasets should be preserved in a way that encourages other analysts to use them. The best method for ensuring this is to deposit the data with full supporting documentation in a public archive, such as the UK Data Archive. CSO encourages this and will consider applications for the costs associated with archiving and data sharing (see paras 13.7 and 13.8).
16.2 CSO recognises that the original investigator has a right to a limited period of exclusive use of the data, that secondary analyses may be most fruitfully conducted in collaboration with the original investigator, and that publications making secondary use of the data should acknowledge the intellectual property of the original investigator.
16.3 Whether or not the data are likely to be used for secondary analysis, the Chief Investigator must ensure that the raw data or results are stored for a minimum period of 5 years after completion of the project. At any time during this period the data or results may be requested by CSO. If a longer period of storage is required this will be indicated in the notice of funding.",http://www.cso.scot.nhs.uk/wp-content/uploads/Chief_Scientist_Office_Standard_Conditions_of_Grant_Response_Mode_v1_4.pdf,13/02/2018
CHILDREN with CANCER UK ,N,N,N/A,No grant applicant guidance available,https://www.childrenwithcancer.org.uk/research/,13/02/2018
Daphne Jackson Trust ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.daphnejackson.org/fellowships/,13/02/2018
Diabetes UK ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.diabetes.org.uk/Research/For-researchers,13/02/2018
Digital Health Institute ,N,N,N/A,No grant applicant guidance available,https://dhi-scotland.com/personas/academic/,13/02/2018
Dogs Trust ,N,N,N/A,No grant applicant guidance available,https://www.dogstrustdogschool.org.uk/research/funding-research/,13/02/2018
Edinburgh and Lothian Health Foundation ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.elhf.co.uk/grant-seekers/apply-for-a-grant/,15/02/2018
EPSRC,Y,Y,10 years,"EPSRC Expectation vii: Research organisations will ensure that EPSRC-funded research data is securely preserved for a minimum of 10 years from the date that any researcher ‘privileged access’ period expires or, if others have accessed the data, from last date on which access to the data was requested by a third party; all reasonable steps will be taken to ensure that publicly-funded data is not held in any jurisdiction where the available legal safeguards provide lower levels of protection than are available in the UK.",https://www.epsrc.ac.uk/about/standards/researchdata/expectations/,15/02/2018
ESRC,Y,Y,Not stated,"On Funding - The policy clearly states that costs for long-term preservation cannot be included in grant proposals. We fund national services, therefore funding for alternative services is not possible. We do however, allow award-holders to cost activities relating to the preparation of data for curation.",http://www.esrc.ac.uk/funding/guidance-for-grant-holders/research-data-policy/,15/02/2018
European Commission,Y,Y,Not stated,"As of the Work Programme 2017 the Open Research Data pilot is extended to cover all thematic areas of Horizon 2020 per default. However, the Commission recognizes that some research data cannot be made open and applies the principle of 'as open as possible, as closed as necessary'. It is therefore possible to opt out of research data sharing at any stage - before or after the signature of the grant agreement - but reasons have to be given e.g. for intellectual property rights (IPR) concerns, privacy/data protection concerns, national security concern, if it would run against the main objective of the project or for other legitimate reasons (see General Annex L of the 2017 Work Programme adopted at 25 July 2016). ",http://ec.europa.eu/research/participants/docs/h2020-funding-guide/cross-cutting-issues/open-access-dissemination_en.htm,15/02/2018
Innovate UK ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.gov.uk/government/organisations/innovate-uk,15/02/2018
Juvenile Diabetes Research Foundation ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://jdrf.org.uk/our-research/information-for-researchers/,15/02/2018
Kay Kendall Leukaemia Fund ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://kklf.org.uk/project-grants/,15/02/2018
Kidney Research UK ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://research.kidneyresearchuk.org/Login.aspx?ReturnUrl=%2f,15/02/2018
Bloodwise (previously Leukaemia and Lymphoma Research),N,Y,Not stated,"Bloodwise expects valuable data, reagents and software arising from Bloodwise-funded research to be made available to the scientific community with as few restrictions as possible so as to maximise the value of the research and for eventual patient and public benefit. Such data must be shared in a timely and responsible manner, making use of online open repositories, public databases and community-led reagent stores.",https://bloodwise.org.uk/research/funding-researchers/our-funding-schemes,15/02/2018
Leverhulme Trust ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.leverhulme.ac.uk/funding/grant-schemes/research-project-grants/application-procedure,15/02/2018
Marie Curie Cancer Care ,Y,Y,5 Years,"MCCC appears to apply Cancer Research UK policies regarding RDM and Data Sharing, including the submission of a DMP using the CR-UK template. See CR-UK entry above. ""The Grantholder must comply with CR-UK’s policy on data sharing and preservation by ensuring that they submit a data management and sharing plan as part of their application. Please refer to the CR-UK website for further details.""",https://www.mariecurie.org.uk/research/funding-research/marie-curie-research-grants-scheme/terms-and-conditions,15/02/2018
Motor Neurone Disease Association ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.mndassociation.org/research/for-researchers/,15/02/2018
Medical Research Council (MRC),Y,Y,Not stated,Our data-sharing policy applies to all MRC-funded research. It does not prescribe when or how researchers should preserve and share data but requires them to make clear provision for doing so when planning and executing research.,https://www.mrc.ac.uk/funding/guidance-for-applicants/2-the-application/#2.2.8,15/02/2018
Multiple Sclerosis Society ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.mssociety.org.uk/ms-resources/grant-round-applicant-guidance,20/02/2018
"National Centre for the Replacement, Refinement and Reduction of Animal Research ",Y,Y,Not stated,"The NC3Rs has adopted the MRC policy on data management and research data sharing. All applications (excluding Studentship applications) are required to upload a Data Management Plan (DMP) as an ‘Additional Document’ attachment type as part of the application on Je-S. The DMP should comply with the MRC’s Policy on Research Data Sharing. The DMP should demonstrate how the applicant will meet, or already meets their responsibilities for research data quality, sharing and security. It should refer to any institutional and study data policies, systems and procedures and be regularly reviewed throughout the research cycle. The DMP is reviewed by peer reviewers alongside the Case for Support. The data management plan template can be used to develop a DMP to accompany a research proposal. If it is not used, then the applicant should ensure that all the topics listed on the template are addressed. The length of the DMP will be dependent on the complexity of the data collected, but should be between half a page to a maximum of 3 pages.",http://www.nc3rs.org.uk/sites/default/files/documents/Funding/Handbook.pdf,20/02/2018
National Institute for Health Research,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.nihr.ac.uk/funding-and-support/funding-for-research-studies/how-to-apply-for-funding/,20/02/2018
NERC,Y,Y,Not stated,Central to the policy is that NERC-funded scientists must make their data openly available within two years of collection and deposit it in a NERC data centre for long term preservation. The aim is that all NERC-funded data are managed and made available for the long-term for anybody to use without any restrictions.,http://www.nerc.ac.uk/research/sites/data/policy/,20/02/2018
Paul Mellon Centre for Studies in British Art ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.paul-mellon-centre.ac.uk/fellowships-and-grants/procedure,20/02/2018
Pet Plan Charitable Trust ,?,?,?,Broken URL,,20/02/2018
Royal Academy of Engineering ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.raeng.org.uk/grants-and-prizes/support-for-research,20/02/2018
Royal Society ,Y/N,Y/N,not stated,"Exact requirements vary by grant but generally a brief DMP. ""The Society supports science as an open enterprise and is committed to ensuring that data outputs from research supported by the Society are made publically available in a managed and responsible manner, with as few restrictions as possible. Data outputs should be deposited in an appropriate, recognised, publically available repository, so that others can verify and build upon the data, which is of public interest.
The Society does not dictate a set format for data management and sharing plans. Where they are required, applicants should structure their plan in a manner most appropriate to the proposed research. The information submitted in plans should focus specifically on how the data outputs will be managed and shared, detailing the repositories where data will be deposited. In considering your approach for data management and sharing, applicants should consider the following:
· What data outputs will be generated by the research that are of value to the public?
· Where and when will you make the data available?
· How will others be able to access the data?
· If the data is of high public interest, how will it be made accessible not only for those in the same or linked field, but also to a wider public audience?
· Specify whether any limits will be placed on the data to be shared, for example, for the purposes of safeguarding commercial interests, personal information, safety or security of the data.
· How will datasets be preserved to ensure they are of long-term benefit?""",https://royalsociety.org/grants-schemes-awards/,20/02/2018
Royal Society of Chemistry ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.rsc.org/awards-funding/funding,20/02/2018
Royal Society of Edinburgh ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.rse.org.uk/funding-awards/,20/02/2018
Scottish Funding Council ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.sfc.ac.uk/funding/university-funding/university-funding-research/university-research-funding.aspx,20/02/2018
Scottish Government,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.gov.scot/topics/research,20/02/2018
Scottish Institute for Policing Research ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.sipr.ac.uk/research/index.php,20/02/2018
Society for Endocrinology ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://www.endocrinology.org/grants-and-awards/,20/02/2018
Society for Reproduction and Fertility ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://srf-reproduction.org/grants-awards/grants/,20/02/2018
STFC,Y,Y,10 years from the end of the project,"Where possible, STFC expects the original data, from which other related data can in principle be derived, to be retained for a minimum of 10 years from the end of the project. For data that by their nature cannot be re-measured, efforts should be made to retain them indefinitely.",https://www.stfc.ac.uk/funding/research-grants/data-management-plan/,20/02/2018
Tenovus - Scotland ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,https://tenovus-scotland.org.uk/for-researchers/,20/02/2018
UK-India Eduation and Research Initiative ,N,N,N/A,No mention of RDM or data sharing in any of the applicant guidance. ,http://www.ukieri.org/call-for-research-applications-2017-18.html,20/02/2018
Wellcome Trust ,Y,Y,Not stated,"Anyone applying for Wellcome funding must consider their approach to managing and sharing anticipated outputs at the research proposal stage. In cases where these outputs are significant – generating data, software or materials that will hold clear value as a resource for others in academia or industry – applicants will need to include an outputs management plan explaining their planned approach. We will review this plan when making our funding decision. We will fund any justified costs for delivering the plan as part of funding the research.",https://wellcome.ac.uk/funding/managing-grant/policy-data-software-materials-management-and-sharing,20/02/2018
